"pathway","score_column","n_donors","raw_spearman_rho","raw_p_value","group_adjusted_partial_rho","stratified_permutation_p","LODO_min_rho","LODO_max_rho","LODO_median_rho","raw_FDR","adjusted_FDR","adjusted_evidence"
"NF-κB","NFkB_module_score",12,0.182884206667024,0.569409732617249,0.374140883084489,0.297570242975702,-0.0247840798548305,0.327149854083762,0.196202974230412,0.569409732617249,0.396760323967603,"Not significant"
"p38 MAPK","p38_MAPK_module_score",12,-0.250066160136543,0.433110270146378,-0.00497206912884175,0.982701729827017,-0.43124298947405,-0.133484762494383,-0.233379094012657,0.569409732617249,0.982701729827017,"Not significant"
"Inflammatory response","Inflammatory_module_score",12,0.4516120205451,0.140537525793845,0.62259480542069,0.0505949405059494,0.312279406170864,0.629285308902091,0.419523539268061,0.281075051587689,0.202379762023798,"Not significant"
"ECM degradation","ECM_degradation_module_score",12,0.634496227212123,0.0266776480706264,0.490931822916293,0.13048695130487,0.565077020690135,0.858116330321033,0.610141713797743,0.106710592282505,0.260973902609739,"Not significant"
