"pathway","group","n_donors","spearman_rho","p_value","FDR"
"NF-κB","Normal",6,0.777541914350235,0.0687269414410897,0.334093125493039
"NF-κB","OA",6,0.347862621391469,0.499253218114633,0.570575106416724
"p38 MAPK","Normal",6,-0.50709255283711,0.304558784680535,0.570575106416724
"p38 MAPK","OA",6,0.376851173174092,0.461482840350805,0.570575106416724
"Inflammatory response","Normal",6,0.439480212458829,0.383220913257781,0.570575106416724
"Inflammatory response","OA",6,0.753702346348183,0.0835232813732598,0.334093125493039
"ECM degradation","Normal",6,0.676123403782813,0.140357386618995,0.374286364317319
"ECM degradation","OA",6,0.260896966043602,0.617533817425997,0.617533817425997
